step,node_index,dim_index,value,drift
0,0,0,0.16769553253574826,0.0
0,0,1,0.3986921140467846,0.0
0,0,2,0.1603453593436953,0.0
0,0,3,-0.6323600759225024,0.0
0,0,4,0.43932603887058064,0.0
0,0,5,0.2166042988707274,0.0
0,0,6,-0.26055780564654846,0.0
0,0,7,0.28198891091379247,0.0
0,1,0,0.055286494398274905,0.0
0,1,1,-0.15287178947793298,0.0
0,1,2,-0.1207956983430628,0.0
0,1,3,-0.7139791496631483,0.0
0,1,4,0.5263037941421088,0.0
0,1,5,0.33459819377453415,0.0
0,1,6,-0.09516617834010696,0.0
0,1,7,0.2262908661913737,0.0
0,2,0,0.5170704062375071,0.0
0,2,1,-0.6474821770750692,0.0
0,2,2,0.10592606941582514,0.0
0,2,3,-0.14384541641739626,0.0
0,2,4,-0.11467948479791608,0.0
0,2,5,-0.05462191594678088,0.0
0,2,6,-0.5117669962753879,0.0
0,2,7,-0.05876047094248301,0.0
0,3,0,-0.2506366022791769,0.0
0,3,1,-0.06718493850750241,0.0
0,3,2,0.639760338356519,0.0
0,3,3,0.2534654724231038,0.0
0,3,4,-0.6311749388688324,0.0
0,3,5,-0.0020008379180791853,0.0
0,3,6,-0.23974371707787,0.0
0,3,7,0.05715404363836135,0.0
0,4,0,-0.36378537903083075,0.0
0,4,1,-0.6007776027048816,0.0
0,4,2,-0.11266590132950216,0.0
0,4,3,0.19072931359814682,0.0
0,4,4,0.5153521927236995,0.0
0,4,5,0.04976682893649964,0.0
0,4,6,-0.25070100589723965,0.0
0,4,7,-0.35600502740572837,0.0
1,0,0,0.16603546028087,0.030534157289457582
1,0,1,0.14572470310485475,0.030534157289457582
1,0,2,0.48178398923417326,0.030534157289457582
1,0,3,-0.7730686868833883,0.030534157289457582
1,0,4,0.3188428404019423,0.030534157289457582
1,0,5,0.08911004597151617,0.030534157289457582
1,0,6,-0.10879484785187503,0.030534157289457582
1,0,7,0.002801941819974457,0.030534157289457582
1,1,0,0.2708056014312545,0.03375999846550873
1,1,1,-0.144117068279536,0.03375999846550873
1,1,2,0.1570553872215482,0.03375999846550873
1,1,3,-0.5610581345016608,0.03375999846550873
1,1,4,0.5033483620327358,0.03375999846550873
1,1,5,0.3618092264767789,0.03375999846550873
1,1,6,-0.3965055335655213,0.03375999846550873
1,1,7,-0.15798683619637796,0.03375999846550873
1,2,0,0.4156058594752203,0.03259784555723875
1,2,1,-0.5041354230363476,0.03259784555723875
1,2,2,0.1281425541223004,0.03259784555723875
1,2,3,-0.4451284527347681,0.03259784555723875
1,2,4,0.013773824114695389,0.03259784555723875
1,2,5,0.29326642205915543,0.03259784555723875
1,2,6,-0.3800190852125751,0.03259784555723875
1,2,7,-0.35770095092921916,0.03259784555723875
1,3,0,-0.11991257180836257,0.022873164557463067
1,3,1,-0.22664358779968652,0.022873164557463067
1,3,2,0.5802811187732028,0.022873164557463067
1,3,3,0.25774401013070825,0.022873164557463067
1,3,4,-0.5982548235632947,0.022873164557463067
1,3,5,-0.3102848934444853,0.022873164557463067
1,3,6,-0.2753046191336311,0.022873164557463067
1,3,7,0.03342638097104692,0.022873164557463067
1,4,0,-0.25033510873889075,0.035144055529006665
1,4,1,-0.5378428249304855,0.035144055529006665
1,4,2,-0.07755356608878265,0.035144055529006665
1,4,3,-0.20415813075578876,0.035144055529006665
