t,silhouette
0,0.1599284464196442
1,0.17955889970999725
2,0.14139169798002588
3,0.20722345269346995
4,0.20823091789041026
5,0.1369111856928854
6,0.14860708516748655
7,0.238916699809404
8,0.20722345269345585
9,0.19516117051094226
10,0.2706895805654422
11,0.20058524358577062
12,0.20058524358368715
13,0.1483515682609596
14,0.12588737649490264
15,0.1317421556587454
16,0.17880425345844717
17,0.18963390115787362
18,0.1788148671322638
19,0.19804056935059206
20,0.2072238446954203
21,0.16673228313313335
22,0.159925564287254
23,0.183433716241418
24,0.20046212174880323
25,0.2202128898795655
26,0.13029945990948952
27,0.14695264966686483
28,0.2167578293667381
29,0.20458449275227134
30,0.10828183203437416
31,0.09940578219933291
32,-0.03268400235920592
33,-0.39704913611703957
34,-0.1689157066826385
35,0.1955908634476061
36,-0.13765377293552863
37,0.030396435858659643
38,0.0023963576265079675
39,0.11198208014426732
40,0.20356319319444885
41,0.025654055220661744
42,-0.14755279352295983
43,-0.04585460064836884
44,-0.20221213910626654
45,-0.01144030775594134
46,-0.05945576296215815
47,0.23369781040689577
48,-0.0597089103155809
49,-0.08675284671169631
