step,node,dim,value
0,http://node1:8000,0,0.21583291474152158
0,http://node1:8000,1,0.10191783743278104
0,http://node1:8000,2,0.13893259236577124
0,http://node1:8000,3,-0.8801913438190409
0,http://node2:8000,0,-0.532511603307508
0,http://node2:8000,1,0.006302680786661186
0,http://node2:8000,2,0.32989648437831043
0,http://node2:8000,3,-1.5000620543683478
0,http://node3:8000,0,0.8964009735221059
0,http://node3:8000,1,-1.825570394994553
0,http://node3:8000,2,-0.43610981714247193
0,http://node3:8000,3,0.04041304977156457
1,http://node1:8000,0,0.38909306697320256
1,http://node1:8000,1,-0.28167510301003185
1,http://node1:8000,2,-0.05990323925393651
1,http://node1:8000,3,-0.7946504402751444
1,http://node2:8000,0,-0.3464630018606057
1,http://node2:8000,1,-0.05646244145458974
1,http://node2:8000,2,0.45373723320773746
1,http://node2:8000,3,-1.2002088089332574
1,http://node3:8000,0,0.14979766909894976
1,http://node3:8000,1,-1.1450781697377073
1,http://node3:8000,2,-0.5883476587236853
1,http://node3:8000,3,0.28042887657955434
2,http://node1:8000,0,0.36417769158332985
2,http://node1:8000,1,0.00707568810449144
2,http://node1:8000,2,0.23733514414056753
2,http://node1:8000,3,-0.7298125573582218
2,http://node2:8000,0,-0.3873141817501766
2,http://node2:8000,1,0.017312202893422446
2,http://node2:8000,2,0.42029837029756056
2,http://node2:8000,3,-0.48869039857604646
2,http://node3:8000,0,-0.2150830713943584
2,http://node3:8000,1,-0.6069083409535083
2,http://node3:8000,2,-0.462380884928287
2,http://node3:8000,3,0.3206204552674823
3,http://node1:8000,0,0.33024381357418026
3,http://node1:8000,1,-0.09981042974697597
3,http://node1:8000,2,0.008610327144455532
3,http://node1:8000,3,-0.6081210680925278
3,http://node2:8000,0,-0.3036368426448458
3,http://node2:8000,1,-0.005038944964081707
3,http://node2:8000,2,0.4992566827773598
3,http://node2:8000,3,-0.4888836282370778
3,http://node3:8000,0,-0.009230452743168055
3,http://node3:8000,1,-0.36839322368235805
3,http://node3:8000,2,-0.44873740361847003
3,http://node3:8000,3,0.11435115298992621
4,http://node1:8000,0,0.27688547308857764
4,http://node1:8000,1,-0.1814077800331466
4,http://node1:8000,2,-0.15050131712204987
4,http://node1:8000,3,-0.5406254146116177
4,http://node2:8000,0,-0.24965305944908397
4,http://node2:8000,1,-0.04270925081957077
4,http://node2:8000,2,0.3741239744245475
4,http://node2:8000,3,-0.17488025964207532
4,http://node3:8000,0,0.13974947312069197
4,http://node3:8000,1,-0.21715537831677004
4,http://node3:8000,2,-0.46077617806558063
4,http://node3:8000,3,-0.007697036144750119
5,http://node1:8000,0,0.21330193342288273
5,http://node1:8000,1,-0.15405738803769214
5,http://node1:8000,2,-0.2234149068757795
5,http://node1:8000,3,-0.4563588120857372
5,http://node2:8000,0,-0.08547306313296651
5,http://node2:8000,1,0.06340537465915436
5,http://node2:8000,2,0.29928086900930645
5,http://node2:8000,3,-0.17762517436228079
5,http://node3:8000,0,0.2064009085449445
5,http://node3:8000,1,-0.09862544417228473
5,http://node3:8000,2,-0.39996407842382786
5,http://node3:8000,3,-0.027539053577340496
6,http://node1:8000,0,0.19782660837638483
6,http://node1:8000,1,-0.2235842622883235
6,http://node1:8000,2,-0.05044360222908251
6,http://node1:8000,3,-0.3693676220587685
6,http://node2:8000,0,-0.01123493622630499
6,http://node2:8000,1,0.09559943348349079
6,http://node2:8000,2,0.24086802686046008
6,http://node2:8000,3,-0.20148231815490103
6,http://node3:8000,0,0.01213010727511174
6,http://node3:8000,1,-0.09759678697206467
6,http://node3:8000,2,-0.2568865411670066
6,http://node3:8000,3,-0.03688046558003143
7,http://node1:8000,0,0.12097745584994776
7,http://node1:8000,1,-0.22462539617200394
7,http://node1:8000,2,-0.09773203473721268
7,http://node1:8000,3,-0.28799266544570373
7,http://node2:8000,0,-0.01816560302569543
7,http://node2:8000,1,0.017784655057871163
7,http://node2:8000,2,0.19360793431764228
7,http://node2:8000,3,-0.07950137584641477
7,http://node3:8000,0,-0.0640136979833534
7,http://node3:8000,1,-0.09316242253480277
7,http://node3:8000,2,-0.2938174708893172
7,http://node3:8000,3,-0.06655592039906624
8,http://node1:8000,0,0.06658111139014342
